Name,Type,Lat,Lon
Biserica Sfânta Mare Muceniță Ecaterina,lacase_cult,44.22064,28.5907291
Biserica Reformată,lacase_cult,47.4549844,23.9067582
Biserica Nouă,lacase_cult,47.4681855,23.9282472
Biserica Lemn,lacase_cult,47.4689162,23.9279575
Mănăstire Dragomirești,lacase_cult,47.6583701,24.3176951
Biserica de lemn din Bogdan Vodă,lacase_cult,47.6902499,24.2683767
Biserica Nouă,lacase_cult,47.6899184,24.2692109
Biserica Lemn Șieu,lacase_cult,47.7239757,24.2226875
Biserica Nouă,lacase_cult,47.6679793,24.1531059
Biserica Lemn din Botiza,lacase_cult,47.6675668,24.153385
Biserica Nouă,lacase_cult,47.6993913,24.1125506
Biserica de Lemn din Poienile Izei,lacase_cult,47.6987884,24.1132936
Biserica Săpânța – Nașterea Maicii Domnului,lacase_cult,47.971476,23.6949496
Biserica de lemn veche din Bârsana,lacase_cult,47.8205434,24.0543923
Biserica de lemn din Săliștea de Sus - Buleni,lacase_cult,47.6580707,24.3508924
Biserica Culciu Mare,lacase_cult,47.7571462,23.055942
Biserica Ortodoxă Borlești,lacase_cult,47.6806356,23.3309114
Biserica Greco-Catolică Acvila,lacase_cult,44.4229858,26.0805932
Biserica Sfântul Nicolae - Negustori,lacase_cult,44.4339927,26.1096516
Biserica Ortodoxă Greacă,lacase_cult,44.4385505,26.1176703
Biserica Cetate,lacase_cult,45.7154778,25.6848387
Biserica,lacase_cult,47.1114351,27.5817852
"Biserica Ortodoxă ""Sfinții Ioachim și Ana - Oborul Vechi""",lacase_cult,44.4394422,26.1209284
Biserica Ortodoxă Popa Soare,lacase_cult,44.4359064,26.1185658
Biserica Ortodoxă „Precupeții Vechi - a Tuturor Sfinților”,lacase_cult,44.4464913,26.1153812
Biserica de lemn Goiești din 1712,lacase_cult,46.3770464,22.9233498
Biserica Ortodoxă,lacase_cult,46.3442355,22.9180598
Biserica Ortodoxă „Olari”,lacase_cult,44.4387171,26.1158539
Biserica Ortodoxă „Sfinții Voievozi”,lacase_cult,44.4457095,26.0839578
Mănăstirea Cârțișoara,lacase_cult,45.6921686,24.5933385
Biserica Ortodoxă „Sfântul Pantelimon”,lacase_cult,44.4424804,26.1217895
Biserica Ortodoxă Andronache,lacase_cult,44.476829,26.1517568
Biserica Ortodoxă „Popa Șapcă” Voluntari,lacase_cult,44.4858829,26.1801426
Biserica Ortodoxă „Sf. Cuv. Paraschiva Galileea Străulești”,lacase_cult,44.4971158,26.0290689
Biserica Ortodoxă Ghencea – Nașterea Domnului,lacase_cult,44.4129019,26.0605709
Biserica Ortodoxă,lacase_cult,45.7157275,25.8078468
Biserica Înălțarea Domnului,lacase_cult,44.4248331,26.0224533
Biserica Ortodoxă Nașterea Maicii Domnului – Drumul Taberei,lacase_cult,44.4202502,26.0281629
Biserica Ortodoxă „Sfânta Maria - Herăstrău”,lacase_cult,44.489852,26.0930425
Biserica Ortodoxă Spirea Nouă,lacase_cult,44.423863,26.0780903
Biserica Ortodoxă Tudor Vladimirescu - Rahova,lacase_cult,44.4044329,26.0577406
"Biserica Ortodoxă ""Vovidenia""",lacase_cult,44.3994232,26.0587911
Biserica Ortodoxă Adormirea Maicii Domnului - Giulești,lacase_cult,44.4682758,26.0308373
Sinagoga Bet Hamirdaș,lacase_cult,44.4320134,26.1063319
Biserica Grădiștea de Munte,lacase_cult,45.6330624,23.2158674
