Name,Type,Lat,Lon
Biserica Pietriș,lacas de cult,46.8839295,27.9153257
Biserica,lacas de cult,46.8544453,27.8868374
Biserica Ortodoxă „Sfântul Andrei”,lacas de cult,44.4176039,26.0163558
Biserica Creștină Baptistă Providența Tulca,lacas de cult,46.7860999,21.7728329
Biserica Ortodoxă,lacas de cult,46.7867427,21.7717868
Biserica Ortodoxă,lacas de cult,46.7908322,21.8187617
Biserica Baptistă,lacas de cult,46.7897914,21.8186121
Biserica Adventistă,lacas de cult,47.7406364,26.6528869
Biserica Vovidenia,lacas de cult,47.7404362,26.663504
Mănăstirea Podgoria Copou,lacas de cult,47.1930539,27.5484983
Biserica Mitocul Maicilor,lacas de cult,47.1677584,27.5800084
Capela Sfinții Împărați Constantin și Elena,lacas de cult,47.2012953,27.5380161
Biserica Botiza,lacas de cult,47.6899974,24.1224298
Biserica,lacas de cult,47.162046,27.5827819
Sfințești,lacas de cult,44.183333,25.1
Biserica Sfântul Voievod Ștefan cel Mare și Sfânt,lacas de cult,47.1479259,27.5867154
Biserica Sfinții Trei Ierarhi,lacas de cult,46.3088276,23.7184061
Biserica Ortodoxă Sfântul Calinic,lacas de cult,44.4268897,26.1491417
Biserica Ortodoxă „Sfântul Nicolae” Otopeni,lacas de cult,44.5524067,26.0895774
Biserica Adormirea Maicii Domnului,lacas de cult,47.204925,26.3657619
Biserica Adventistă Balta Albă,lacas de cult,44.4112149,26.1625572
Biserica Pogorârea Sfântului Duh,lacas de cult,47.1795279,27.4979203
Biserica Sf. Nicolae,lacas de cult,44.4270515,24.3557808
Biserica Maica Domnului,lacas de cult,44.4279419,24.3579032
Biserica,lacas de cult,45.9027071,21.5033189
Biserica,lacas de cult,44.7640519,25.2577839
Biserica,lacas de cult,44.7925917,25.2428437
Biserica,lacas de cult,44.8441075,25.2510417
Biserica,lacas de cult,46.5579956,24.5805958
Biserica Rusciori,lacas de cult,45.8137412,24.0302566
Evanghelische Kirche,lacas de cult,45.8167065,24.0287283
Schitul Cerebuc Sihăstria,lacas de cult,46.9906165,25.9802275
Biserica Măcărești,lacas de cult,47.0304893,27.9787891
Mănăstirea Ștefan cel Mare,lacas de cult,46.2232962,26.5251833
Biserica,lacas de cult,46.8321058,25.8230471
Biserica Ecumenică,lacas de cult,45.7501384,22.9078451
Biserica,lacas de cult,47.1782705,27.5804421
Biserica Creștin Baptistă Biruința,lacas de cult,45.8887747,22.9082172
Biserica Ortodoxă Noul Român,lacas de cult,45.8049847,24.5796727
Biserica Prisăcani,lacas de cult,47.0846664,27.8827762
Biserica Curelari,lacas de cult,47.1665351,27.590841
Biserica Sfântul Ștefan,lacas de cult,47.1720147,27.5894033
Biserica Marpod,lacas de cult,45.8771798,24.4976008
Biserica de lemn din Ilimbav,lacas de cult,45.8696638,24.5268472
Biserica Ortodoxă,lacas de cult,47.0016606,24.6077719
Biserica de lemn din Sărata,lacas de cult,47.070964,24.4371149
Biserica Sfânta Ana (Mănăstirea Ursulinelor),lacas de cult,47.0577192,21.9323101
"Biserica Ortodoxă ""Platoul Romanilor""",lacas de cult,46.0714194,23.552531
Sala Regatului a Martorilor lui Iehova,lacas de cult,46.0736901,23.5555595
Casa de Rugăciune Maranata,lacas de cult,46.075988,23.5573192
Biserica Mihai Viteazul,lacas de cult,46.0638198,23.5733506
Biserica Sf Apostoli Petru și Pavel,lacas de cult,46.0730804,23.5654461
Biserica Baptistă,lacas de cult,46.8239545,21.6760909
Liga Islamică și culturală,lacas de cult,46.7612185,23.5780645
Casă de Rugăciuni Penticostală Muntele Sionului,lacas de cult,45.8644626,22.9096593
Biserică cetate,lacas de cult,46.0605341,24.3427605
Mănăstirea Trotușanu,lacas de cult,45.984782,27.0959059
Biserica Munteni,lacas de cult,47.4252398,26.9073602
Biserica Veche,lacas de cult,45.0535713,25.9573186
Biserica Dacia,lacas de cult,46.0091572,25.1534211
"Biserica Greco-Catolică ""Sfinţii Apostoli Petru şi Pavel""",lacas de cult,47.81613,24.061603
Biserica Catolică Santău,lacas de cult,47.5097739,22.5079114
Biserica,lacas de cult,44.8916757,21.7235625
Biserica,lacas de cult,46.9475331,26.9979236
Biserica Ortodoxă Precista Mare,lacas de cult,46.9198534,26.9278898
Mânăstirea Gologanu,lacas de cult,45.7450054,27.7279963
Biserica Biscaria,lacas de cult,45.8556629,23.0130238
Biserica,lacas de cult,47.8403983,26.7503433
Biserica Sfânta Mare Muceniță Ecaterina,lacas de cult,44.22064,28.5907291
Biserica Reformată,lacas de cult,47.4549844,23.9067582
Biserica Nouă,lacas de cult,47.4681855,23.9282472
Biserica Lemn,lacas de cult,47.4689162,23.9279575
Mănăstire Dragomirești,lacas de cult,47.6583701,24.3176951
Biserica de lemn din Bogdan Vodă,lacas de cult,47.6902499,24.2683767
Biserica Nouă,lacas de cult,47.6899184,24.2692109
Biserica Lemn Șieu,lacas de cult,47.7239757,24.2226875
Biserica Nouă,lacas de cult,47.6679793,24.1531059
Biserica Lemn din Botiza,lacas de cult,47.6675668,24.153385
Biserica Nouă,lacas de cult,47.6993913,24.1125506
Biserica de Lemn din Poienile Izei,lacas de cult,47.6987884,24.1132936
Biserica Săpânța – Nașterea Maicii Domnului,lacas de cult,47.971476,23.6949496
Biserica de lemn veche din Bârsana,lacas de cult,47.8205434,24.0543923
Biserica de lemn din Săliștea de Sus - Buleni,lacas de cult,47.6580707,24.3508924
Biserica Culciu Mare,lacas de cult,47.7571462,23.055942
Biserica Ortodoxă Borlești,lacas de cult,47.6806356,23.3309114
Biserica Greco-Catolică Acvila,lacas de cult,44.4229858,26.0805932
Biserica Sfântul Nicolae - Negustori,lacas de cult,44.4339927,26.1096516
Biserica Ortodoxă Greacă,lacas de cult,44.4385505,26.1176703
Biserica Cetate,lacas de cult,45.7154778,25.6848387
Biserica,lacas de cult,47.1114351,27.5817852
"Biserica Ortodoxă ""Sfinții Ioachim și Ana - Oborul Vechi""",lacas de cult,44.4394422,26.1209284
Biserica Ortodoxă Popa Soare,lacas de cult,44.4359064,26.1185658
Biserica Ortodoxă „Precupeții Vechi - a Tuturor Sfinților”,lacas de cult,44.4464913,26.1153812
Biserica de lemn Goiești din 1712,lacas de cult,46.3770464,22.9233498
Biserica Ortodoxă,lacas de cult,46.3442355,22.9180598
Biserica Ortodoxă „Olari”,lacas de cult,44.4387171,26.1158539
Biserica Ortodoxă „Sfinții Voievozi”,lacas de cult,44.4457095,26.0839578
Mănăstirea Cârțișoara,lacas de cult,45.6921686,24.5933385
Biserica Ortodoxă „Sfântul Pantelimon”,lacas de cult,44.4424804,26.1217895
Biserica Ortodoxă Andronache,lacas de cult,44.476829,26.1517568
Biserica Ortodoxă „Popa Șapcă” Voluntari,lacas de cult,44.4858829,26.1801426
Biserica Ortodoxă „Sf. Cuv. Paraschiva Galileea Străulești”,lacas de cult,44.4971158,26.0290689
Biserica Ortodoxă Ghencea – Nașterea Domnului,lacas de cult,44.4129019,26.0605709
Biserica Ortodoxă,lacas de cult,45.7157275,25.8078468
Biserica Înălțarea Domnului,lacas de cult,44.4248331,26.0224533
Biserica Ortodoxă Nașterea Maicii Domnului – Drumul Taberei,lacas de cult,44.4202502,26.0281629
Biserica Ortodoxă „Sfânta Maria - Herăstrău”,lacas de cult,44.489852,26.0930425
Biserica Ortodoxă Spirea Nouă,lacas de cult,44.423863,26.0780903
Biserica Ortodoxă Tudor Vladimirescu - Rahova,lacas de cult,44.4044329,26.0577406
"Biserica Ortodoxă ""Vovidenia""",lacas de cult,44.3994232,26.0587911
Biserica Ortodoxă Adormirea Maicii Domnului - Giulești,lacas de cult,44.4682758,26.0308373
Sinagoga Bet Hamirdaș,lacas de cult,44.4320134,26.1063319
Biserica Grădiștea de Munte,lacas de cult,45.6330624,23.2158674
Biserica Ortodoxă „Ceauș Radu”,lacas de cult,44.4291385,26.1164966
Biserica Ortodoxă Dudești Cioplea II,lacas de cult,44.4158669,26.1487225
Biserica Ortodoxă Constantin Brâncoveanu Nouă,lacas de cult,44.3833142,26.1089983
Biserica,lacas de cult,46.5459803,24.5631543
Biserica,lacas de cult,46.5459044,24.5638565
Biserica Ortodoxă Liceul Carol I,lacas de cult,45.7983093,24.1389216
Biserica,lacas de cult,44.9410611,26.0462025
Mănăstirea catolică „Don Orione” Iași,lacas de cult,47.1759702,27.5317733
Biserica Gornet,lacas de cult,45.0776467,26.2608623
Biserica Catolică Săcărâmb,lacas de cult,45.9738928,23.0365944
Biserica Reformată Sângeorgiu de Mureș,lacas de cult,46.5772855,24.6056112
Biserica Bichigiu,lacas de cult,47.422453,24.3431229
Biserica Cuvioasa Parascheva,lacas de cult,47.3632808,24.39008
Biserica Romuli,lacas de cult,47.5407594,24.4342497
Biserica Dragomirești,lacas de cult,47.6665762,24.2960006
Biserica Săcel,lacas de cult,47.6387433,24.4306881
Biserica Sfântul Nicolae,lacas de cult,44.1439166,25.9684077
Biserica Nouă,lacas de cult,47.6582735,24.3169814
Biserica Suplai,lacas de cult,47.4363661,24.2591434
Biserica Agrieș,lacas de cult,47.3995893,24.1358818
Biserica ortodoxă,lacas de cult,46.2181312,24.35722
Biserica evanghelică,lacas de cult,46.217268,24.3566222
Biserica,lacas de cult,44.9440212,21.6144213
Biserica,lacas de cult,46.7611959,23.558158
Biserica Sf. Ioan Botezătorul - Bucium,lacas de cult,47.1300079,27.6209075
Biserica creștină adventistă de ziua a șaptea,lacas de cult,46.1609621,24.3581692
Biserica Baptistă Mediaș,lacas de cult,46.1598454,24.3586985
Biserica de lemn Grămești (1668) „Adormirea Maicii Domnului”,lacas de cult,45.1704627,24.0656876
Parohia Ortodoxă Sfântul Nicolae – Malaxa,lacas de cult,44.4333876,26.1905617
Biserica de lemn din Poienile de sub Munte,lacas de cult,47.8209727,24.4361106
Biserica cu Hramul Sfântul Ilie,lacas de cult,47.6545136,24.6622566
Biserica Ortodoxă,lacas de cult,46.829756,21.6785654
Biserica Cuvioasa Paraschiva,lacas de cult,45.3837471,27.0402001
Biserica,lacas de cult,44.9154761,26.0204649
Casa de rugaciuni Plopi,lacas de cult,44.2820406,24.9872702
Biserica,lacas de cult,44.9370548,26.0251313
Biserica Adormirea Maicii Domnului,lacas de cult,44.9971804,26.0017769
Biserica Sfinții Arhangheli Mihail și Gavril,lacas de cult,45.0183714,25.9453134
Mănăstirea catolică „Sfânta Familie”,lacas de cult,44.4839532,26.0440869
Biserica Ortodoxă „16 Februarie”,lacas de cult,44.4882733,26.0229883
"Biserica Ortodoxă ""Sfinții Apostoli Petru și Pavel""",lacas de cult,47.6600365,24.3565419
Biserica de lemn din Săliștea de Sus - Nistorești,lacas de cult,47.6625437,24.3557335
Biserica Ortodoxă Țesătorilor,lacas de cult,45.7181784,24.1542305
Biserica Ortodoxă Sfânta Treime,lacas de cult,45.7099205,24.1420579
Biserica Greco-catolică,lacas de cult,45.7093303,24.1414314
Biserica Betel,lacas de cult,45.7104556,24.1433456
Biserica Talpa,lacas de cult,47.9012159,26.2411133
Biserica Creștină Adventistă,lacas de cult,47.8384934,26.6061995
Biserica,lacas de cult,47.8365381,26.626183
Biserica Ortodoxă Roma,lacas de cult,47.8369683,26.5992313
Biserica Sarafinești,lacas de cult,47.6169525,26.6052479
Biserica,lacas de cult,47.5996741,26.6435368
Biserica Catolică,lacas de cult,45.8644807,25.8098051
Biserica Sf. Cruce,lacas de cult,45.4390522,28.0291405
Biserica Sf Apostoli Petru și Pavel,lacas de cult,45.9114006,23.852277
Mănăstirea Stânișoara,lacas de cult,45.3019434,24.3383549
Biserica Sfântul Gheorghe,lacas de cult,43.7719976,23.9502596
Biserica Ortodoxă Bujoreni-Olteni,lacas de cult,45.1457901,24.3851187
Mănăstirea Cerbu,lacas de cult,44.9338734,28.4351293
Mănăstirea Horaița,lacas de cult,47.0585682,26.280081
Mănăstirea Dragomirești,lacas de cult,47.67254,24.29021
Mănăstirea Almas Putna,lacas de cult,44.93341,22.17096
Mănăstirea Ilva Mare,lacas de cult,47.37464,24.9193
Mănăstirea Nocrich Hartibaci,lacas de cult,45.8725755,24.4480628
Mănăstirea Sfântul Pantelimon,lacas de cult,44.35934,24.97335
Mănăstirea Parepa,lacas de cult,44.9010143,26.360882
Mănăstirea Soldana,lacas de cult,47.53627,27.28277
